A&A,Astronomy And Astrophysics
BCWS,Budgeted Cost For Work Scheduled
BD,Blowdown
BDL,Boundary Layer
BDN,Bacteria-derived Nuclei
BDSP,Basic Data Set Project
BDU,Bus Data Unit
BE,Best Estimate
BEJ,Best Expert Judgment
BEMC,Boulder Emergency Management Center
BEP,Balloon Electronics Package
BER,Bit Error Rate
BER,Biological And Environmental Research
BEST,Black Educational Science Trust
BEST,Bilan D'energie Du Systeme Tropical
BFPQ,Block Floating Point Quantizer
BFS,Business And Financial Services
BGCWG,Biogeochemistry Working Group
BGE,Block Gaussian Elimination
BGP4,Border Gateway Protocol Version 4
BGS,Biogeosciences Initiative
BHP,Brake Horsepower
BI,The Brookings Institution
BIATEX,Part Of EUROTRAC
BIBEX,Biomass Burning Experiment
BIGIT,A Binary Digit
BINET,Bistatic Doppler Radar Receiver Network
BIOFLUX,Bioaerosol Flux
BIOMASS,Biological Investigations Of Marine Antarctic Systems And Stocks
BIOME,Biological Imaging And Observational Mission To Earth
BIORESP,Bio Response
BIORESP,Bio Response
BIP,Balloon-borne (instrument) Platform
BIT,Binary Digit
BIT,Binary Digit (either 0 Or 1)
BIT,Built-in Test
BITNET,Because It's Time Network
BITS,Biologically Important Trace Species
BL,Beta Lambda
BLIP,Boundary Layer Instrument Package
BLM,Bureau Of Land Management
BLP,Boundary Layer Profiler
BLPS,Boundary Layer Profiler System
BLS,Bureau Of Labor Statistics
BLSG,Boundary Layer Sensing Group
BMDO,Ballistic Missile Defense Organization
BMFT,Bundesminsterium Fur Forschung Und Technologie
BMI,Battelle Memorial Institute
BMO,Ballistic Missile Office
BMRC,Bureau Of Meteorology Research Centre
BMRR,Brookhaven Medical Research Reactor
BNFL,British Nuclear Fuels Limited
BNI,Bechtel National
BNL,Brookhaven National Laboratory
BNM,Bandelier National Monument
BNSC,British National Space Centre
BNW,Battelle Northwest
BNWL,Battelle Northwest Laboratory
BOD,Board Of Directors
BOD,Beneficial Occupancy Date
BOF,Birds Of A Feather
BOM,Bureau Of Mines
BOMAP,Barbados Oceanographic And Meteorological Analysis Program
BOMAP,BOMEX Analysis Program
BOMEX,Barbados Oceanographic And Meteorological Experiment
BOR,Burnout Risk
BOREAS,Boreal Ecosystem Atmosphere Study
BOSS,Badge Office Security Sytem
BP,Boundary Profile
BP,Budget And Planning Office
BPA,Bonneville Power Administration
BPA,Blanket Purchase Award
BPI,Bits Per Inch
BPI,Budget
BPS,Bits Per Second
BPS,Baud-per-second
BPSG,Budget Planning And Systems Group
BRAN,Boulder Research And Administrative Network
BRASS,Basic Rapid Alarm Security System
BRAVE,Boeing Robotic Air Vehicle
BRI,Basic Rate Interface
BRITE,Basic Research In Industrial Technologies Europe
BRL,Ballistics Research Laboratory
BRMS,Basin Rainfall Monitoring System
BRS,Bibliographic Retrieval Service
BSAC,Biotechnology Science Advisory Committee
BSD,Berkeley Software Distribution
BSD UNIX,Berkeley Software Distribution UNIX
BSDI,Berkeley Software Design
BSI,British Standards Institute
BSR,Budget Surplus Report
BSR,Bus Select Relay
BSRN,Boulder Science Resource Network
BSRN,Baseline Surface Radiation Network
BSTS,Boost Surveillance And Tracking System
BSU,Beam Steering Unit
BTAG,Biological Technical Assistance Group
BTU,British Thermal Unit
BU,Bargaining Unit
BUFR,Binary Universal Form For The Representation Of Meteorological Data
BUREC,Bureau Of Reclamation
BUS,Business Operations
BUV,Backscatter Ultraviolet
BV,Building Ventilation
BWC,Biological Weapons Convention
BWI,Baltimore-Washington International Airport
BWIP,Basalt Waste Isolation Project
BX,Base Exchange
BXA,Bureau Of Export Administration
C,A Programming Language Used Extensively In Systems Software
C&C,Consultation And Cooperation Agreement
C&DH,Command And Data Handling
C&DM,Configuration And Data Management
C/D,Integrated Phase C And Phase D Contract
C++,An Object-oriented Programming Language Based On C
C2F3CL3,CFC-113
C2FBR2,Halon 2402
CA,Citizen Act
CAA,Clean Air Act
CAA,Concepts Analysis Agency
CAAA,Clean Air Act Amendments
CAAC,Civil Aviation Administration Of China
CAALS,Consortium On Automated Standards
CAAP,Composition And Acidity Of SE Asian Precipitation
CAB,CCSM Advisory Board
CABALS,Carrier Balloon System
CAC,Central Analysis Center (NMC)
CAC,Climate Analysis Center
CAC,California Administrative Code
CACGP,Commission On Atmospheric Chemistry And Global Pollution
CACM,Communications Of The ACM
CACR,Commission On Air Chemistry And Radioactivity
CAD,Computer-Aided Design
CAD,Computer-Aided Dispatch
CAD,Control Alternate Delete (PC Keyboard Reset Sequence)
CAD,Coronary Artery Disease
CAD/CAM,Computer-design/computer-aided Manufacturing
CADD,Computer-Aided Design And Drafting
CADRE,Center For Analysis Of Dynamics Of Atmospheric Regions
CADRE,Center For Analysis Of The Dynamics Of Regional Ecosystems
CAE,Cooler
CAE,Computer Aided Engineering
CAENEX,Complex Atmospheric Energetics Experiment
CAFE,Corporate Average Fuel Economy
CAG,Carcinogen Assessment Group
CAG,Convective Airspace Guidance
CAG,Computing Advisory Group
CAGE,Continental Africa GATE Experiment
CAGEX,CERES/ARM/GEWEX Experiment
CAI,Computer-aided Instruction
CAI,Controlled Air Incinerator
CAL,Computer-aided Learning
CAL,Cray Assembly Language
CAL,Continental Air Lines
CAL/VAL,Calibration/Validation
CALCOMP,California Computer Products
CALCRUST,Consortium For Study Of The California Crust
CALLS,California Academia Libraries List Of Serials
CALS,Computer-aided Acquisition And Logistics Support
CALTECH,California Institute Of Technology
CALUTRON,California University Cyclotron
CAM,Computer Aided Machining
CAM,Cost Account Manager
CAM,Computer-aided Manufacturing
CAM,Constant Air Monitor
CAM,Cost Account Manager
CAMAC,Computer-automated Measurement And Control
CAMEX,Coastal AMOS (Experiment)
CAMP,Committee On Aeronautical Meteorological Problems
CAO,Central Aerological Observatory
CAOS,Center For Atmosphere/Ocean Studies
CAP,Civil Air Patrol
CAP,Corporate Affiliates Program
CAP,Cost Account Plan
CAP,CGD Advisory Panel
CAPE,Convection And Precipitation/Electrification Experiment
CAPE,Convective Available Potential Energy
CAPOS,Chemistry And Production Of Smoke
CAPP,Center For Applied Parallel Processing
CAPPPI,Citizen Ambassador Program Of People To People International
CAPS,Center For The Analysis And Prediction Of Storms
CAPS,Cassini Plasma Spectrometer
CAPTEX,Cross-Appalachian Tracer Experiment
CAR,Central African Republic
CARA,Center For Astrophysical Research In Antarctica
CARB,California Air Resources Board
CARD,Citizens Against Radioactive Dumping
CARL,Colorado Alliance Of Research Libraries
CARP,Carpenter Research Project
CARP,Colorado-Amudarya Rivers Project
CARS,Coherent Anti-Stokes Raman Spectroscopy
CARSS,Center For Atmospheric And Remote Sounding Studies
CART,Cloud And Radiation Testbed
CAS,Cooperative Application Satellite
CAS,Committee On Atmospheric Sciences
CAS,Commission For Atmospheric Science
CAS,Climate Analysis Section
CAS,Center For Automotive Safety
CAS,Chemical Abstract Service
CASAC,Clean Air Scientific Advisory Committee
CASC,Coalition For Academic Supercomputer Centers
CASE,Computer Aided Software Engineering
CASES,Cooperative Atmosphere Surface Exchange Study
CASH,Commercial Aviation Sensing Humidity Program
CASH,Commercial Aviation Sensing Of Humidity
CASI,Canadian Aerospace Institute
CASP,Canadian Atlantic Storms Project (or Program)
CASS,Computer-Assisted Surveillance System
CAST,Council For Agricultural Science And Technology
CAST,Chinese Academy Of Space Technology
CASW,Council For The Advancement Of Science Writing
CAT,Clear Air Turbulence
CAT,Coordinated Analysis Of The Thermosphere
CATI,Colorado Advanced Technology Institute
CB,Cumulonimbus
CB,Meteorological Symbol
CBASSE,Commission On Behavioral & Social Sciences And Education
CBB,Contract Budget Baseline
CBERS,China-Brazil Earth Resources Satellite
CBL,Convective Boundary Layer
CBL,Computer-based Learning
CBLCBNM,Central Bureau Of Nuclear Measurements
CBO,Carrier Balloon/Omegasonde
CBO,Congressional Budget Office
CBRS,Coastal Barrier Resources System
CBSS,Change Board Support System
CBT,Computer Based Training
CCAA,Canadian Clean Air Act
CCAB,CGD Computing Advisory Board
CCAR,Colorado Center For Astrodynamics Research
CCARS,Computer Controlled Automatic Rain Sampler
CCAWG,Climate Change And Assessment Working Group
CCB,Center For Capacity Building
CCB,Change Control Board
CCB,Configuration Control Board
CCC,Cray Computer Corporation
CCC,Canadian Climate Centre
CCCC,Center For Clouds
CCCMA,Canadian Centre For Climate Modeling And Analysis
CCCO,Committee For Climatic Change And The Ocean
CCCS,Change And Configuration Control System
CCCWG,Chemistry And Climate Change Working Group
CCD,Charge-Couple Device
CCD,Conference Of The Committee On Disarmament
CCEA,Center For Climatic And Environmental Assessment
CCF,Central Computing Facility
CCHW,Citizens Clearinghouse For Hazardous Wastes
CCID,Confidential Chemicals Identification System
CCIG,Cloud Climate Interactions Group
CCIT,Comite Consultatife International De Telephonique Et Telegraphique
CCL,Convection Condensation Level
CCL,Convective Condensation Level
CCL,Commerce Control List
CCM,Community Climate Model
CCM1,Community Climate Model 1
CCM2,Community Climate Model Version 2
CCM3,Community Climate Model Version 3
CCM4,Community Climate Model 4
CCM5,Community Climate Model 5
CCMS,CCM0B
CCN,Computer-to-computer Network
CCN,Cloud Condensation Nuclei
CCNS,Concerned Citizens For Nuclear Safety
CCNY,City College Of New York
CCOL,Coordinating Committee On The Ozone Layer
CCOPE,Cooperative Convective Precipitation Experiment
CCP,Clouds In Climate Program
CCPP,Climate Change Prediction Program
CCPR,Coherent Cloud Physics Radar
CCPR,Clouds And Climate Program
CCR,Configuration Change Request
CCR,Climate Change Research
CCR,Commitment
CCR,California Code Of Regulations
CCR/IDA,Center For Communications Research/Institute For Defense Analyses
CCRI,Climate Change Research Initiative
CCRS,Canada Centre For Remote Sensing
CCSDS,Consultative Committee For Space Data Systems
CCSF,Colorado Computational Science Fair
CCSM,Community Climate System Model
CCSM-2,Community Climate System Model � 2nd Generation
CCSP,Coupled Climate Systems Program
CCSP,U.S. Climate Change Science Program
CCT,Computer-compatible Tape
CCTF,Cylindrical Core Test Facility
CCTM,Community Chemistry Transport Model
CCTP,Clean Coal Technology Program
CCU,CRAY Charging Unit
CCU,Cooler Control Unit
CD,Compact Disk
CDA,Command And Data Acquisition
CDC,Climate Data Center
CDC,Control Data Corporation
CDC,Centers For Disease Control
CDCL,Contract Document Control List
CDCR,Concept Design And Cost Review
CDDF,Central Data Distribution Facility
CDDIS,Crustal Dynamics Data Information System
CDE,Common Desktop Environment
CDED,Core Dynamics And The Earth's Dynamo
CDF,Common Data Format
CDFS II,Cloud Depiction And Forecast System
CDH,Colorado Department Of Health
CDHF,Central Data Handling Facility
CDIAC,Carbon Dioxide Information Analysis Center
CDIS,Command And Data Interface Simulator Unit
CDMS,Cryospheric Data Management System
CDOS,Customer Data And Operations System
CDP,Community Data Portal
CDR,Circular Depolarization Ratio
CDR,Critical Design Review
CDRL,Contract Data Requirements List
CD-ROM,Compact Disk-read Only Memory
CDS,Computing
CDS,Coronal Doppler Spectrometer
CDSF,Customer Data Service Facility
CDT,Conventional Defense Technology
CDW,Critical Design Walk-through
CE,Combustion Engineering
CEA,Commissariat A
D&F,Determination And Findings
D/A,Digital-to-analogue Conversion
D/L,Downlink
D/RADEX,Digital Radar Experiment
D/RADEX,Digital Radar Experiment
DA,Drift Angle
DA,Deka
DAB,Defense Acquisition Board
DAC,Douglas Aircraft Corporation
DAC,Director's Advisory Committee
DAC,Disaster Assistant Center
DADS,Data Archive And Distribution System
DAESRA,Denver Area Employees Service And Recreation Association
DAF,Data Acquisition Facility
DAF,Device Assembly Facility
DAI,Data Assimilation Initiative
DAIRS,Differential Absorption Infrared Sensor
DAM,Data Access Management
DAMUS,Data Management And User Services
DAR,Data Acquisition Request
DARE,Denver AWIPS Risk Reduction And Requirements Evaluation
DARE-1,A Weather Service Work Station At PROFS
DARE-2,A Weather Service Work Station At PROFS
DARPA,Defense Advanced Research Projects Agency
DARRRE,DAR3E
DART,Data Assimilation Research Testbed
DARTS,DOE Audit Reporting & Tracking System
DAS,Data-Acquisition System
DASA,Defense Atomic Support Agency
DASC,Division Of Advanced Scientific Computing
DASC,Defense Logistics Agency Administrative Support Center
DASD,Direct Access Storage Device
DASM,Design And Analysis Support Model
DASMA,Deputy Assistant Secretary For Military Application
DAT,Data Acquisition Test
DAT,Digital Audio Tape
DAWG,Data Assimilation Working Group
DB,Direct Broadcast
DB,Division Burden
D-B,Davis-Bacon Act
DBA,Data Base Administrator
DBER,Division Of Biomedical And Environmental Research
DBMS,Data Base Management System
DBSS,Directed Balloon Sounding System
DBX,Debugger For UNIX
DBZ,Decibles
DC,Direct Current
DC,Dublin Core--metadata
DCA,Washington National Airport
DCA,Data Collection Assignment
DCAA,Defense Contract Audit Agency
DCAR,Data Collection Analysis Request
DCC,Direct Connect Service
DCE,Distributed Computing Environment
DCF,Data Capture Facility
DCG,Derived Air Concentration Guide For Uncontrolled Areas
DCLS,Data Collection Location System
DCM,Deep Convection Model
DCO,Delayed Compliance Order
DCP,Data Collection Platform
DCR,Data Collection Request
DCS,Direct Connect Service
DCSL,Distributed CSL
DCTN,Defense Commercial Telecommunications Network
DCVZ,Denver Convergence Vorticity Zone
DCX,Delta Clipper Experimental
DD,Dated
DD,Demonstration Division
DD+,Domestic Data Plus
DDB,Delayed Direct Broadcast
DDC,Defense Documentation Center
DDD,Wind Direction
DDE,Dynamic (or Direct) Data Exchange
DDE,Distributed Data Environment
DDESB,Department Of Defense Explosives Safety Board
DDF,Digital Data Formatter
DDHS,Digital Data Handling System
DDN,Data Defense Network
DDR,Deutsche Demokratische Republik
DDS,Domestic Data Service
DDS,Data Delivery Services
DDS,Doctor Of Dental Science
DE,Dynamics Explorer
DEA,Drug Enforcement Administration
DEAR,Department Of Energy Acquisition Regulation
DEBITS,Deposition Of Biogeochemical Important Trace Species
DEC,Digital Equipment Corporation
DEC,DOE Environmental Checklist
DECAFE,Dynamique Et Chimie De L'Atmosphere En Foret Equitoriale
DECDOS,DEC's Version Of DOS
DECMAIL,An Electronic Mail Facility Provided By DEC
DECNET,Digital Equipment Corporation Network
DECU,Developmental & Educational Communications Unit
DECUS,Digital Equipment Computer Users Society
DED,Data Element Directory
DELNI,Digital Equipment Local Network Interconnect
DEM,Digitized Elevation Models
DEM,Digital Elevation Model
DEMVAL,Demonstration And Validation
DERF,Dynamic Extended Range Forecasting
DES,Data Encryption Standard
DEST,Directed Energy Science & Technology
DETEC,Defense Technology Evaluation Code
DEWPOINT,Directed Energy Weapon Power Integration
DEWS,Doppler Electronic Weather Sensor
DF,Direction Finding
DFD,Data Flow Diagram
DFDR,Digital Flight Data Recorder
DFS,Design And Fabrication Services
DFVLR,Deutsche Forschungs-und Versuchanstalt F?r Luft-und Raumfahrt E.V.
DFW,Dallas-Fort Worth International Airport
DG,Data General
DG,Diesel Generator
DGC,Division Of Grants And Contracts
DGPS,Differential Global Positioning System
DH&HS,Director Of Health & Human Services
DHC,Data Handling Center
DHEW,Department Of Health
DHR,Director Of Human Resources
DHS,Data Handling Services
DIA,Direct-interaction Approximation
DIA,Denver International Airport
DIA,Defense Intelligence Agency
DIAL,Differential Absorption Lidar
DIB,Directory Information Base
DIB,Disabilities Issues Board
DIC,Dissolved Inorganic Carbon
DIC,Defense Intelligence College
DICOMED,Online Graphics Recorder Used At NCAR For Producing Microfilm And Microfiche Output
DID,Data Item Description
DIF,Data Interface Facility
DIF,Directory Interchange Format
DIFAX,Digital Facsimile Map
DIG,DOE Interaction Group
DIMES,DIstributed MEtadata System
DIP DUAL IN-LINE PACKAGE,N/A
DIPS DMS IMAGE PROCESSING SYSTEM,N/A
DIR,Director's Office
DIRC,DOE Internal Review Committee
DIRP,DOE Internal Review Panel
DIS,Data Information System
DIS,Data Interface System
DIS,Defense Intelligence Service
DISA,Defense Information Systems Agency
DISN,Defense Information Systems Network
DLA,Defense Logistics Agency
DLD,Digital Loran Dropwindsonde
DLESE,Digital Library For Earth System Education
DLPDU,Data Link Protocol Data Unit
DLR,Deutsche Zentrum Fur Luft-und Raumfarht
DLS,Dynamic Limb Sounder
DLT,Digital Linear Tape
DM,Data Management
DMA,Defense Mapping Agency
DMA,Directory Of Military Application
DMAIAGS,Defense Mapping Agency Inter-American Geodetic Survey
DMDS,DiMethyDiSulfide
DME,Distance-measuring Equipment
DMI,Danish Meteorological Institute
DML,RF Dimensional Metrology Laboratory
DMMR,Distributed-Memory Microprocessor Systems
DMP,Data Management Plan
DMS,Data Management System
DMS,Device Management System
DMSP,Defense Meteorological Satellite Program
DMSP SPO,DMSP System Program Office
DNA,Defense Nuclear Agency
DNFSB,Defense Nuclear Facilities Safety Board
DNO,Do Not Operate
DNP,Division Of Nuclear Physics
DNS,Direct Numerical Simulation
DNS,Domain Name Service
DNS,Domestic Name System
DOA,Department Of Agriculture
DOAS,Differential Optical Absorption Spectroscopy
DOC,Department Of Commerce
DOC,Dissolved Organic Carbon
DOD,Digital Omega Dropwindsonde
DOD,Department Of Defense
DOD,Digital Optical Disk
DODCI,Department Of Defense Computer Institute
DODP,Department Of Defense Programs
DODS,Distributed Ocean Data System
DOE,Department Of Energy
DOE/HQ,Department Of Energy Headquarters
DOE/HQ-EH,DOE Headquarters
DOE/ID,DOE Idaho
DOE/NV,DOE Nevada Operations Office
DOE/RF,DOE Rocky Flats Operations Office
DOE/RFO,DOE Rocky Flats Office
DOE/RL,DOE Richland Operations
DOE/SR,DOE Savannah River
DOELAP,DOE Laboratory Accreditation Program
DOI,Department Of Interior
DOJ,Department Of Justice
DOL,Department Of Labor
DOMONIC,Johnsten Island Experiment
DOMSAT,Domestic Satellite
DOOS,DICOMED Online Operating System
DOPLID,Doppler Lidar
DOPLIGHT,Doppler And Lightning Program
DORIS,Determination D'Orbite Et Radiopositionement Integre Par Satellite
DORIS,Doppler Orbitography & Radiopositioning Integrated By Satellite
DOS,Department Of State
DOS,Department Of Space
DOS DISK OPERATING SYSTEM,N/A
DOSECC,Deep Observation And Sampling Of The Earth's Continental Crust
DOT,Department Of Transportation
DOW,Defenders Of Wildlife
DP,Data Processing
DP,Defense Programs
DPC,DLESE Program Center
DPDC,Data Processing And Distribution Center
DPFC,Defense Program Field Council
DPG,Dahlgren Proving Ground
DPH,Dew-point Hygrometer
DPMB,Defense Programs Management Board
DPMI,DOS Protected Mode Interface
DPS,Data Production Services
DPSOL,Du Pont Savannah River Operations Logbook
DQ,Director Of Quality
DQA,Data Quality Assessment
DQM,Data Quality Monitor
DR,Discrepancy Report
DRA,Defense Research & Applications
DRAAG,Design Review And Acceptance Group
DRB,Design Review Board
DRD&DAA,Environmental Research
DRE,Defense Research And Engineering
DRGS,Direct Read-out Ground Station
DRI,Defense Research Internet
DRI,Desert Research Institute
DRL,Deliverables Requirement List
DRL,Data Requirements List
DRM,Design Reference Mission
DRMS,Data Record Management System
DROT,Direct Read Out Terminal
DRP,Design Review Presentation
DRPN,Division De Recherche En Precision Numerique
DRTS,Data Relay And Tracking Satellite
DRY-MAP,Mesoscale Alpine Project
DS,Lightning Detection Systems
DS-1,Digital Signal 1
DSA,Directory System Agent
DSAA,Defense Security Assistance Agency
DSAP,DOE Special Analysis Project
DSAT,Distributed System Administration Team
DSB,Direct Soundings Broadcast
DSDP,Deep Sea Drilling Project
DSET,Desert Sunshine Exposure Testing
DSI (+/OR MOD),Ministry Of Defense
DSI (+/OR MOD),Defense Security Installation
DSIR,Department Of Scientific & Industrial Research
DSL,Distributed Software Libraries
DSM,DiMethylSulfide
DSM,Demonstration Support Model
DSN,Deep Space Network
DSN,Defense Switched Network
DSRS,Data Storage And Retrieval System
DSS,Data Support Section
DSSG,Defense Science Study Group
DST,Data Systems Test
DTC,Developmental Testbed Center
DTC,Distance Traveled Count
DTC,Office Of Defense Trade Controls
DTF,Data Test Facility
DTF,Development And Test Facility
DTF3,Diagnostic Turbulent Flux Algorithm
DTF3.1,Same As DTF3
DTG,Data Time Group
DTIC,Defense Technical Information Center
DTM,Digital Terrain Map
DTR,Development And Test Resource
DTRC,David Taylor Research Center
DTSA,Defense Technology Security Administration
DUDFCD,Denver Urban Drainage And Flood Control District
DULTI,University Of Denver Low Turbulence Inlet
DUOF,Depleted Uranium Oxide Facility
DVM,Digital Voltmeter
DVM,Dynamic Vegetation Model
DWB,Library
DWB,Developers Workbench
DWB,Library
DWS,Dropwindsonde
DWTF,Decontamination And Waste Treatment Facility
DXF,Data Exchange Format
DYANA,Dynamics Adapted Network For The Atmosphere
DYCOMS,Dynamics And Chemistry Of Marine Stratocumulus
DYCOMS-II,Dynamics And Chemistry Of Marine Stratocumulus
DYNA,Structural Dynamics Analysis
EAA,Export Administration Act
EAC,Employee Activities Committee
EAC,Estimated Cost At Completion
EACR,Environmental Area Characterization Report
EAD,Energy And Air Division (EPA
EAG,Environmental Assessments Group
EAG,Exposure Assessment Group
EAO,Economy Act Order
EAR,Ethics Advisory Review
EAR,Export Administration Regulations
EARN,European Academic Research Network
EASDS,Earth Science And Applications Data System
EASOE,European Arctic Stratospheric Ozone Experiment
EBAM,Electron-beam-accessed-memory
EBB,Equivalent Blockbody
EBCDIC,Extended Binary-coded Decimal Interchange Code
EBR-II,Experimental Breeder Reactor II
EBUFR,Enhanced Binary Universal Form
EC,European Community
ECA,Earth-crossing Asteroids
ECAO,Environmental Criteria And Assessment Office
ECCN,Export Control Classification Number
ECG,Environmental Coordinating Group
ECHAM4,European Center HAMburg 4
ECMOP,Experimental Center For Mesoscale Ocean Predictions
ECMRWF,European Centre For Medium-Range Weather Forecasts
ECMWF,European Centre For Medium-range Weather Forecasting
ECN,Energy Research Foundation
ECOD,Export Control Operations Division
ECP,Engineering Change Proposal
ECR,Economic Cleanup Responsibility Act
ECR,Engineering Change Request
ECS,EOSDIS Core System
ECSA,Early Career Scientists Assembly
ECTD,Emission Control Technology Division
ECU,Environmental Crimes Unit
EDA,Ecosystem Dynamics And The Atmosphere
EDAS,Ecosystem Dynamics And The Atmosphere Section
EDC,EROS Data Center
EDF,Exploratory Development Facility
EDF/ DER,Electricit? De France/ Direccion Des Etudes Et Recherche
EDMS,Electra Data Management System
EDP,Electronic Data Processing
EDP,Embedded Data Processor
EDRS,European Data Relay Satellite
EDS,Environmental Data Service
EDS,Electronic Data Systems
EDUCOM,A Consortium Of Industrial Organizations And University Computing Administrators
EEA,European Environment Agency
EEC,European Economic Community
EECF,Earthnet ERS-1 Central Facility
EED,Exposure Evaluation Division
EEI,Edison Electric Institute
EEID,EOSDIS External Interface Document
EEMD/NV,Engineering And Energy Management
EEMOC,European EMOC
EEOC,Equal Employment Opportunity Commission
EEPROM,Electronically Eraseable And Programmable Read Only Memory
EERL,Eastern Environmental Radiation Lab
EERU,Environmental Emergency Response Unit
EES,Earth & Environmental Science
EESI,Environment & Energy Study Institute
EETFC,Environmental Effects
EEZSCAN,Exclusive Economic Zone Scan
EF,Error Function
EF,Emission Factor
EFC,Experimental Forecast Center
EFEDA,European Field Experiment In Desertification-Threatened Area
EFF,Experimental Forecast Facility
EFI,Enrico Fermi Institute
EFNS,Educational Foundation For Nuclear Science
EFT,Enhanced Forecaster Tools
EFTA,European Free Trade Association
EFTC,European Fluorocarbon Technical Committee
EG&G,Inc.
EGA,Enhanced Graphics Adapter
EGD,Effluent Guidelines Division
EGP,Exterior Gateway Protocol
EGS,European Geophysical Society
EGSE,Electronic Ground Support Equipment
EGTF,Electron Gun Test Facility
EH,Oxidation Potential
EH,Assistant Secretary For Environment
EHF,Extremely High Frequency
EHF,Extremely High Frequency
EI,Electron Ionization
EIA,Energy Information Administration
EIA,Electronic Industries Association
EIB,Environmental Improvement Board
EIC,Earth Information System
EICC,Emergency Information Control Center
EINET,Enterprise Integration Network
EIR,Eidgenossisches Institut Fur Reaktorforschung
EIS,Environmental Impact Statement
EISA,Extended Industry Standard Architecture
EISCAT,European Incoherent Scatter Radar System
EISPACK,Eigensystem Package Subroutine Computing Facility
EL NI-O,The Little Boy
ELCHEM,Electrified Clouds As Sources Of NOx
ELDO,European Launcher Development Organization
ELDOME,Electra Radome
ELDORA,Electra Doppler Radar
ELDORA/ASTERIX,France-United States Collaborative Development Of The ELDORA
ELF,Extremely Low Frequency
ELF,Extremely Low Frequency
ELGA,(French) Study Of African Squall Lines
ELI,Environmental Law Institute
ELINT,Electronic Intelligence
ELLWAS,Enhanced Low-Level Windshear Alert System
ELP,Emission Line Polarimeter
ELP,Equipment Loan Program
ELSCAM,Electra Scalar Measurements
ELVD,Every Launch Vehicle Directorate
ELVIS,ELectromagnetic Very Weak Instabilities Saturated
ELVIS,Export Licensing Voice Information System
EM,Engineering Model
EM,Electromagnetic
EM,Electromagnetic Conductivity
EM,Electronic Mail
EM,Electron Microscope
EM,Evaluation Model
EMA,Electrodynamics Of The Middle Atmosphere
EMA,Extended Memory Addressing
EMACS,An On-line Text Editor Distributed As Part Of The GNU Package Of UNIX Software
EMAD,Equatorial Middle Atmosphere Dynamics
E-MAIL,Electronic Mail
EMAP,Environmental Monitoring And Assessment Program
EMC,Environmental Modeling Center
EMCOM,Environmental Management Career Opportunities For Minorities
EMCORE,Environmental Management Center Opportunities Resource
EMDS,Emergency Management Decision Support System
EMEP,European Model And Evaluation Program
EMEX,Equatorial Monsoon Experiment
EMEX,Equatorial Mesoscale Experiment
EMF,Electromotive Force
EMF,Electromagnetic Field/force
EMG,Electromagnetic Gravity Data
EMI,Electomagnetic Interference
EMI,Electromagnetic Radiation Interference
EMMP,Environmental Monitoring And Mitigation Plan
EMO,Elk Mountain Observatory
EMO,Emergency Management Office
EMO,Environmental Management Office
EMP,Electromagnetic Pulse
EMR,Electomagnetic Radiation
EMR,Electronic Mail Registration
EMRO,Emergency Management & Response Office
EM-SCATTERING,Electromagnetic Scattering
EMSES,Electromagnetic Modeling And Simulation Environment For Systems
EMU,Electromagnetic Units
EMU,Electromotive Unit
ENAC,Energetic Neutral Atom Camera
ENACEOS,Energetic Neutral Atom Camera For EOS
ENCAR,Enclosed Cryopump For Air Sample Recovery
ENDEX,Environmental Data Index
ENEA,Comitato Nazionale Per La Ricerca E Lo Sviluppo Dell' Energia Nucleare E Delle Energie Alternative
ENRI,Electronic Navigation Research Institute
ENS,European Nuclear Society
ENSO,El Ni-o-Southern Oscillation
ENSTROPHY,N/A
ENVISAT,European Environmental Satellite
EO,Office Of Education And Outreach
EO,Ethylene Oxide
EOB,Executive Office Building
EOC,Earth Observation Center
EOC,EOS Operations Center
EOCAP,Earth Observations Commercialization Applications Program
EODC,Earth Observation Data Centre
EOF,Empirical Orthogonal Function
EOFS,Empirical Orthogonal Functions
EO-ICWG,Earth Observation International Coordination Working Group
EOL,Earth Observing Laboratory (formerly ATD)
EOL,End Of Life
EOLE,The French Program Like GHOST
EON,10 To The 9th Years
EOP,Equal Employment Opportunity
EOPM,Electro-optic Phase Modulated
EOR,Emergency Operations Center
EORC,Earth Observation Research Center
EORV,Emergency Operating Records Vault
EOS,Earth Observing System
EOS-A,First NPOP
EOSAT,Earth Observation Satellite Company
EOSDIS,Earth Observing System Data And Information System
EOSIS,EOS Information System
EOSP,Earth Observing Scannign Polarimeter
EP,Electrical Power
EPA,Environmental Protection Agency
EPAA,Environmental Programs Assistance Act
EPAC,External Program Advisory Committee
EPC,Environmental Forecast Center
EPC,Emergency Planning Commission
EPI,Electronic Position Indicator
EPI,Environmental Policy Institute
EPIC,Engineering Physics Information Center
EPIC,Environmental Photographic Interpretation Center
EPICS,Energetic Pion Channel And Spectrometer
EPICS,Experimental Physics & Industrial Control System
EPL,Electron Prototype Lab
EPO,Estuarine Programs Office
EPOCH,European Program On Climatology And Natural Hazards
EPOCS,Eastern Pacific Ocean Climate Study
EPOP,European Polar Orbiting Platform
EPR,Electon Paragmagnetic Resonance
EPRI,Electric Power Research Institute
EPROM,Electronically Programmable Read Only Memory
EQS,Equatorial Scatter
ER,Electrical Resistivity
ERA,Energy Reorganization Act
ERA,Engineering Research Associates
